codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
2670,0,1,6,4,0,1,0,1,.92309999,3,1,5,1,1,4,3
2680,0,1,0,1,0,1,0,1,.91600001,3,1,1,1,1,4,2
2700,0,1,13,4,0,1,0,1,.85759997,2,1,5,1,1,4,3
2710,0,1,40,5,0,,0,1,.93489999,3,1,5,1,1,3,2
2710,0,1,40,5,0,,0,1,.93489999,3,1,5,1,1,3,2
2718,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2719,0,1,1,2,1,4,0,1,.83829999,2,1,4,5,1,5,3
2720,0,1,0,,0,,0,1,.98949999,4,1,1,1,1,2,2
2720,0,1,0,,0,,0,1,.91869998,3,1,1,1,1,4,2
2729,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2730,0,1,27,5,0,1,0,1,.97030002,4,1,5,1,1,3,2
2739,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2750,0,1,66,5,0,,0,1,.82929999,2,1,5,1,1,5,3
