codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
3809,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3810,1,5,6,4,2,5,0,1,.9975,5,0,5,4,5,1,5,4
3818,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3819,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3820,0,1,3,3,2,5,0,1,.98629999,4,0,1,4,5,1,5,3
3840,0,1,0,1,0,1,0,1,.98869997,4,0,1,1,1,1,5,2
3849,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3900,0,1,0,1,0,1,0,1,.9964,5,0,1,1,1,1,5,2
3910,0,1,3,3,3,5,0,1,.99199998,5,0,1,4,5,1,5,3
3920,1,5,7,4,1,4,0,1,.99860001,5,0,5,4,4,1,5,4
3930,0,1,3,3,1,4,0,1,.99610001,5,0,1,4,4,1,5,3
3940,0,1,0,1,0,1,0,1,.99529999,5,0,1,1,1,1,5,2
3949,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4000,0,1,21,5,0,1,0,1,.9921,5,0,1,5,1,1,5,3
4009,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4010,0,1,0,1,2,5,0,1,.98659998,4,0,1,1,5,1,5,3
4020,0,1,1,2,0,1,0,1,.9971,5,0,1,3,1,1,5,3
4030,0,1,0,1,0,1,0,1,.97579998,4,0,1,1,1,1,5,2
4040,0,1,10,4,1,4,0,1,.9975,5,0,1,5,4,1,5,3
4100,0,1,16,4,1,4,0,1,.99190003,5,0,1,5,4,1,5,3
4110,0,,1,2,0,1,0,,0,,0,1,3,1,1,1,2
4129,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4200,0,1,2,3,1,4,0,1,.99730003,5,0,1,4,4,1,5,3
4210,0,1,0,1,0,1,0,1,.9982,5,0,1,1,1,1,5,2
4230,0,1,4,4,0,1,0,1,.97909999,4,0,1,4,1,1,5,3
4239,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4240,0,1,0,1,0,1,0,1,.96640003,4,0,1,1,1,1,4,2
4250,0,1,1,2,0,1,0,1,.9928,5,0,1,3,1,1,5,3
4259,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4270,0,,0,,1,4,0,,0,,0,1,1,4,1,1,2
4280,0,,0,,1,4,0,,0,,0,1,1,4,1,1,2
4300,0,1,560,5,1,4,0,1,.83149999,2,0,1,5,4,1,3,3
4307,0,,7,4,0,1,0,,0,,0,1,4,1,1,1,2
4309,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4317,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4318,0,1,0,1,0,1,0,1,.99150002,5,0,1,1,1,1,5,2
4326,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4327,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4336,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4337,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4338,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4359,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4368,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4369,0,1,17,4,1,4,0,1,.84329998,2,0,1,5,4,1,3,3
4400,0,1,1,2,0,1,0,1,.99919999,5,0,1,3,1,1,5,3
4420,0,1,0,1,0,1,0,1,.97869998,4,0,1,1,1,1,5,2
4450,0,1,0,1,0,1,0,1,1,5,0,1,1,1,1,5,2
4489,0,1,1,2,0,1,0,1,.99839997,5,0,1,3,1,1,5,3
4500,0,1,7,4,5,5,0,1,.99849999,5,0,1,4,5,1,5,3
4510,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4519,0,1,0,1,0,1,0,1,.97570002,4,0,1,1,1,1,4,2
4530,0,1,2,3,3,5,0,1,.99769998,5,0,1,4,5,1,5,3
4535,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4600,0,1,156,5,2,5,0,1,.87230003,2,0,1,5,5,1,3,3
4610,0,1,0,1,1,4,0,1,.9892,4,0,1,1,4,1,5,3
4620,0,1,20,5,3,5,0,1,.94989997,3,0,1,5,5,1,4,3
4630,0,1,304,5,0,1,0,1,.85790002,2,0,1,5,1,1,3,2
4640,1,5,1,2,0,1,0,1,.9975,5,0,5,3,1,1,5,4
4710,0,1,4,4,0,1,0,1,.99559999,5,0,1,4,1,1,5,3
4718,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4720,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4729,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4739,0,1,0,1,2,5,0,1,.97689998,4,0,1,1,5,1,5,3
4810,0,1,0,1,0,1,0,1,.99900001,5,0,1,1,1,1,5,2
4815,0,,10,4,0,1,0,,0,,0,1,5,1,1,1,2
4840,0,,5,4,0,1,0,,0,,0,1,4,1,1,1,2
4843,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4849,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4850,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4859,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4899,0,1,2,3,0,1,0,1,.96160001,4,0,1,4,1,1,4,3
4908,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
4910,0,1,1,2,2,5,0,1,.87849998,2,0,1,3,5,1,3,3
4918,0,1,2,3,0,1,0,1,.99769998,5,0,1,4,1,1,5,3
4919,0,1,0,1,0,1,0,1,.97399998,4,0,1,1,1,1,4,2
4920,0,1,11,4,8,5,0,1,.99949998,5,0,1,5,5,1,5,4
4921,0,,1,2,0,1,0,,0,,0,1,3,1,1,1,2
4929,0,1,0,1,0,1,0,1,1,5,0,1,1,1,1,5,2
4930,0,1,0,1,1,4,0,1,1,5,0,1,1,4,1,5,3
4938,0,1,1,2,0,1,0,1,.99919999,5,0,1,3,1,1,5,3
4939,0,1,0,1,0,1,0,1,.99910003,5,0,1,1,1,1,5,2
4940,0,1,0,1,0,1,0,1,1,5,0,1,1,1,1,5,2
4950,0,1,0,1,0,1,0,1,.99910003,5,0,1,1,1,1,5,2
4960,0,1,0,1,0,1,0,1,.99849999,5,0,1,1,1,1,5,2
4970,0,1,0,1,0,1,0,1,.9982,5,0,1,1,1,1,5,2
5000,0,1,128,5,0,1,0,1,.90079999,2,0,1,5,1,1,3,2
5009,0,,7,4,0,1,0,,0,,0,1,4,1,1,1,2
5010,0,1,15,4,0,1,0,1,.71079999,1,0,1,5,1,1,3,2
5020,0,1,5,4,0,1,0,1,.72799999,1,0,1,4,1,1,3,2
5039,0,1,0,1,0,1,1,5,0,,0,1,1,1,5,1,3
5060,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5100,0,1,49,5,0,1,0,1,.89590001,2,0,1,5,1,1,3,2
5109,0,,0,,1,4,0,,0,,0,1,1,4,1,1,2
5110,0,1,9,4,1,4,0,1,.89600003,2,0,1,5,4,1,3,3
5118,0,1,2,3,0,1,0,1,.91869998,3,0,1,4,1,1,4,3
