codigo,basureros,reporte_falta_agua,reportesretio,aguaresidual,adecuacinsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
3520,0,1,1,0,.9967,1,4,5,1,1,2
3530,1,0,1,0,.9901,5,1,5,1,2,3
3540,0,2,1,0,.9935000000000001,1,4,5,1,1,2
3550,0,2,0,0,.9921,1,4,1,1,1,2
3560,0,0,0,0,.9925000000000001,1,1,1,1,1,1
3570,0,21,1,0,.9929,1,5,5,1,1,2
3580,0,1,1,0,.9937,1,4,5,1,1,2
3590,0,1,3,0,1,1,4,5,1,1,2
3600,0,5,0,0,.9943,1,5,1,1,1,2
3610,0,38,0,0,.9913,1,5,1,1,1,2
3620,0,0,0,0,.9935000000000001,1,1,1,1,1,1
3630,0,6,0,0,.9896,1,5,1,1,2,2
3640,0,6,0,0,1,1,5,1,1,1,2
3650,1,1,2,0,.9992,5,4,5,1,1,2
3660,1,7,0,0,.9876,5,5,1,1,2,3
3700,0,1,1,0,.9959,1,4,5,1,1,2
3710,1,1,2,0,.9893,5,4,5,1,2,3
3720,0,0,0,0,.9999,1,1,1,1,1,1
3730,0,1,1,0,.9804000000000001,1,4,5,1,2,3
3740,0,6,0,0,.9976,1,5,1,1,1,2
3800,0,0,5,0,.9966,1,1,5,1,1,2
3809,0,0,0,0,,1,1,1,1,,0
3810,1,6,2,0,.9975000000000001,5,5,5,1,1,2
3818,0,0,0,0,,1,1,1,1,,0
3819,0,0,0,0,,1,1,1,1,,0
3820,0,3,2,0,.9863,1,4,5,1,2,3
3840,0,0,0,0,.9887,1,1,1,1,2,2
3849,0,0,0,0,,1,1,1,1,,0
3900,0,0,0,0,.9964,1,1,1,1,1,1
3910,0,3,3,0,.992,1,4,5,1,1,2
3920,1,7,1,0,.9986,5,5,5,1,1,2
3930,0,3,1,0,.9961,1,4,5,1,1,2
3940,0,0,0,0,.9953,1,1,1,1,1,1
3949,0,0,0,0,,1,1,1,1,,0
4000,0,21,0,0,.9921,1,5,1,1,1,2
4009,0,0,0,0,,1,1,1,1,,0
4010,0,0,2,0,.9866,1,1,5,1,2,2
4020,0,1,0,0,.9971,1,4,1,1,1,2
4030,0,0,0,0,.9758,1,1,1,1,2,2
4040,0,10,1,0,.9975000000000001,1,5,5,1,1,2
4100,0,16,1,0,.9919,1,5,5,1,1,2
4110,0,1,0,0,,1,4,1,1,,0
4120,0,0,0,0,.9628,1,1,1,1,2,2
4120,0,0,0,0,.9733000000000001,1,1,1,1,2,2
4129,0,0,0,0,,1,1,1,1,,0
4200,0,2,1,0,.9973,1,4,5,1,1,2
4210,0,0,0,0,.9982,1,1,1,1,1,1
4230,0,4,0,0,.9791,1,4,1,1,2,2
4239,0,0,0,0,,1,1,1,1,,0
4240,0,0,0,0,.9664,1,1,1,1,2,2
4250,0,1,0,0,.9928,1,4,1,1,1,2
4259,0,0,0,0,,1,1,1,1,,0
4260,0,0,0,0,.8619,1,1,1,1,4,4
4260,0,0,0,0,.6635,1,1,1,1,5,5
4260,0,0,0,0,.8879,1,1,1,1,4,4
4260,0,0,0,0,.8821,1,1,1,1,4,4
4270,0,0,1,0,,1,1,5,1,,0
4280,0,0,1,0,,1,1,5,1,,0
4300,0,560,1,0,.8315,1,5,5,1,4,4
4307,0,7,0,0,,1,5,1,1,,0
4309,0,0,0,0,,1,1,1,1,,0
4310,0,8,0,0,.9957,1,5,1,1,1,2
